,underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code,dte_days,buckets,T,D,F,mid,spread,Ctilde,iv,vega,k,w_base
58,SPY,2023-08-25,SPY,2023-09-01,385.0,C,0.0,0.0,0.0,0.0,0,10,56.15,10,56.39,440.78,440.8,0.0,440.79,0.0,0.987,0.0012,-0.0467,0.0212,0.0713,25,54.93,25,56.09,440.04,440.07,0.0,288,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,56.269999999999996,0.240000000000002,56.105287143694966,0.39901621083369176,1.1047003896744818,-0.13592319259320365,21.186856787273122
60,SPY,2023-08-25,SPY,2023-09-01,386.0,C,0.0,0.0,0.0,0.0,0,20,55.15,10,55.39,440.78,440.8,0.0,440.79,0.0,0.9869,0.0013,-0.0463,0.0214,0.0715,25,53.94,25,55.1,440.04,440.07,0.0,12,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,55.269999999999996,0.240000000000002,55.108214331473626,0.3947888695768676,1.164832559916653,-0.13332915741615695,23.55616133058959
62,SPY,2023-08-25,SPY,2023-09-01,387.0,C,0.0,0.0,0.0,0.0,0,20,54.15,10,54.39,440.78,440.8,0.0,440.79,0.2525,1.0,0.0,0.0,0.0002,0.0729,25,52.94,25,53.92,440.04,440.07,0.0,9,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,54.269999999999996,0.240000000000002,54.11114151925228,0.3904023043482492,1.225749999275755,-0.13074183385120608,26.084428137577923
64,SPY,2023-08-25,SPY,2023-09-01,388.0,C,0.0,0.0,0.0,0.0,0,10,53.16,10,53.39,440.78,440.8,0.0,440.79,0.2991,0.9993,0.0002,0.0,0.0021,0.073,25,51.94,25,53.12,440.04,440.07,0.0,8,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,53.275,0.23000000000000398,53.119054071092044,0.38963399477491545,1.3607588177594918,-0.1281611872577144,35.00311077712941
66,SPY,2023-08-25,SPY,2023-09-01,389.0,C,0.0,0.0,0.0,0.0,0,10,52.16,10,52.4,440.78,440.8,0.0,440.79,0.287,0.9994,0.0001,0.0,0.0017,0.0732,44,50.94,25,52.11,440.04,440.07,0.0,5,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,52.28,0.240000000000002,52.12696662293181,0.3882114406475846,1.494231255686748,-0.1255871832625416,38.762622317207615
68,SPY,2023-08-25,SPY,2023-09-01,390.0,C,47.76,47.76,46.61,46.61,18,10,51.16,10,51.39,440.78,440.8,0.0,440.79,0.0,0.9873,0.0013,-0.0408,0.0209,0.0725,25,49.95,25,51.11,440.04,440.07,46.9967,606,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,51.275,0.23000000000000398,51.124908446649364,0.3798377001876873,1.4867942238647371,-0.12301978775729572,41.78746813076502
70,SPY,2023-08-25,SPY,2023-09-01,391.0,C,0.0,0.0,0.0,0.0,0,20,50.16,10,50.4,440.78,440.8,0.0,440.79,0.2911,0.9989,0.0002,0.0,0.0029,0.0736,25,48.95,25,50.11,440.04,440.07,0.0,7,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,50.28,0.240000000000002,50.13282099848913,0.3779149321394079,1.62227097341585,-0.12045896689562213,45.690331791450795
72,SPY,2023-08-25,SPY,2023-09-01,392.0,C,0.0,0.0,0.0,0.0,0,10,49.17,10,49.4,440.78,440.8,0.0,440.79,0.2984,0.9982,0.0003,0.0,0.0042,0.0738,25,47.95,25,49.11,440.04,440.07,0.0,5,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,49.285,0.22999999999999687,49.14073355032889,0.37551620971855953,1.757211521993726,-0.1179046870905253,58.370365463659574
74,SPY,2023-08-25,SPY,2023-09-01,393.0,C,0.0,0.0,0.0,0.0,0,10,48.17,10,48.41,440.78,440.8,0.0,440.79,0.2896,0.9983,0.0003,0.0,0.004,0.0741,44,46.95,25,48.13,440.04,440.07,0.0,9,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,48.29,0.23999999999999488,48.148646102168655,0.3727071857461139,1.8920469567859748,-0.11535691501172655,62.15002928269481
76,SPY,2023-08-25,SPY,2023-09-01,394.0,C,0.0,0.0,0.0,0.0,0,10,47.17,10,47.41,440.78,440.8,0.0,440.79,0.2806,0.9985,0.0003,0.0,0.0037,0.0743,25,45.95,25,47.12,440.04,440.07,0.0,10,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,47.29,0.23999999999999488,47.15157328994731,0.3670388363244657,1.9609313341860548,-0.11281561758305403,66.75784196862614
78,SPY,2023-08-25,SPY,2023-09-01,395.0,C,0.0,0.0,0.0,0.0,0,20,46.17,10,46.41,440.78,440.8,0.0,440.79,0.2852,0.9977,0.0004,0.0,0.0051,0.0744,44,44.96,25,46.12,440.04,440.07,0.0,469,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,46.29,0.23999999999999488,46.15450047772597,0.3612975765925694,2.0314369963010526,-0.11028076197986593,71.64472690869476
80,SPY,2023-08-25,SPY,2023-09-01,396.0,C,0.0,0.0,0.0,0.0,0,10,45.18,10,45.41,440.78,440.8,0.0,440.79,0.2872,0.997,0.0005,-0.0022,0.0063,0.0746,25,43.96,25,45.14,440.04,440.07,0.0,7,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,45.295,0.22999999999999687,45.162413029565734,0.3578188170061707,2.1701809139454094,-0.10775231562650732,89.02996595941512
82,SPY,2023-08-25,SPY,2023-09-01,397.0,C,0.0,0.0,0.0,0.0,0,10,44.18,10,44.42,440.78,440.8,0.0,440.79,0.2792,0.9971,0.0005,-0.0018,0.0062,0.0748,25,43.27,25,44.14,440.04,440.07,0.0,3,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,44.3,0.240000000000002,44.17032558140549,0.3540497360208095,2.3098765339815475,-0.1052302461937974,92.63072226108538
84,SPY,2023-08-25,SPY,2023-09-01,398.0,C,0.0,0.0,0.0,0.0,0,10,43.18,10,43.41,440.78,440.8,0.0,440.79,0.2416,0.9992,0.0002,0.0,0.0023,0.0752,25,42.27,25,43.13,440.04,440.07,0.0,10,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,43.295,0.22999999999999687,43.168267405123046,0.3458386766151515,2.3206244336220587,-0.10271452159655016,101.80146997965684
86,SPY,2023-08-25,SPY,2023-09-01,399.0,C,0.0,0.0,0.0,0.0,0,20,42.18,10,42.42,440.78,440.8,0.0,440.79,0.272,0.9965,0.0007,-0.0035,0.0073,0.0752,25,41.28,25,42.13,440.04,440.07,0.0,22,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,42.3,0.240000000000002,42.176179956962805,0.34180521947044046,2.4648571328875835,-0.10020510999112435,105.47778967963016
88,SPY,2023-08-25,SPY,2023-09-01,400.0,C,39.04,40.4,38.13,40.4,60,10,41.19,10,41.42,440.78,440.8,0.0,440.79,0.2716,0.9958,0.0008,-0.0055,0.0085,0.0754,25,40.27,25,41.13,440.04,440.07,39.1397,554,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,41.305,0.23000000000000398,41.18409250880257,0.3375291387062206,2.610718719319921,-0.09770197977300589,128.84408755023085
90,SPY,2023-08-25,SPY,2023-09-01,401.0,C,0.0,0.0,0.0,0.0,0,10,40.19,10,40.43,440.78,440.8,0.0,440.79,0.264,0.9959,0.0008,-0.0051,0.0084,0.0756,25,39.27,25,40.13,440.04,440.07,0.0,3,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,40.31,0.240000000000002,40.19200506064234,0.33303041729350275,2.758507554108727,-0.09520509957441864,132.10701260546503
92,SPY,2023-08-25,SPY,2023-09-01,402.0,C,0.0,0.0,0.0,0.0,0,10,39.19,10,39.43,440.78,440.8,0.0,440.79,0.2564,0.996,0.0008,-0.0047,0.0083,0.0758,25,38.28,25,39.14,440.04,440.07,0.0,11,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,39.31,0.240000000000002,39.194932248421,0.3265928675792628,2.844889144824709,-0.09271443826196683,140.51031677675917
94,SPY,2023-08-25,SPY,2023-09-01,403.0,C,0.0,0.0,0.0,0.0,0,10,38.2,10,38.43,440.78,440.8,0.0,440.79,0.2607,0.9943,0.001,-0.0091,0.011,0.0759,25,37.25,25,37.9,440.04,440.07,0.0,6,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,38.315,0.22999999999999687,38.202844800260756,0.3217842900354946,2.9980199109289245,-0.09022996493430485,169.90781448632364
96,SPY,2023-08-25,SPY,2023-09-01,404.0,C,0.0,0.0,0.0,0.0,0,10,37.2,10,37.44,440.78,440.8,0.0,440.79,0.2532,0.9944,0.0011,-0.0087,0.011,0.0762,25,36.29,25,37.14,440.04,440.07,0.0,10,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,37.32,0.23999999999999488,37.21075735210052,0.3167894173414798,3.153896426916214,-0.08775164891983783,172.69206027283485
98,SPY,2023-08-25,SPY,2023-09-01,405.0,C,36.17,36.17,36.17,36.17,2,10,36.2,10,36.43,440.78,440.8,0.0,440.79,0.2336,0.9963,0.0008,-0.0036,0.0079,0.0765,25,35.3,25,36.15,440.04,440.07,36.17,258,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,36.315,0.22999999999999687,36.20869917581807,0.30855111962569814,3.18603958607955,-0.0852794597744487,191.8874904360345
100,SPY,2023-08-25,SPY,2023-09-01,406.0,C,0.0,0.0,0.0,0.0,0,10,35.21,10,35.44,440.78,440.8,0.0,440.79,0.2477,0.9928,0.0013,-0.0124,0.0136,0.0765,25,34.19,25,35.15,440.04,440.07,0.0,95,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,35.325,0.22999999999999687,35.22159709171895,0.3048372255342935,3.412672610930144,-0.08281336727925515,220.15754913786546
102,SPY,2023-08-25,SPY,2023-09-01,407.0,C,0.0,0.0,0.0,0.0,0,10,34.21,10,34.45,440.78,440.8,0.0,440.79,0.2404,0.9928,0.0014,-0.012,0.0137,0.0767,25,33.31,25,34.15,440.04,440.07,0.0,96,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,34.33,0.240000000000002,34.22950964355871,0.2994123940145308,3.579104858994585,-0.08035334143839286,222.3956873555284
104,SPY,2023-08-25,SPY,2023-09-01,408.0,C,0.0,0.0,0.0,0.0,0,10,33.21,10,33.44,440.78,440.8,0.0,440.79,0.2237,0.9946,0.0012,-0.0072,0.0108,0.0771,25,32.2,25,32.92,440.04,440.07,0.0,53,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,33.325,0.22999999999999687,33.22745146727626,0.29112903305023835,3.6234897369440886,-0.0778993524768261,248.19806944687141
106,SPY,2023-08-25,SPY,2023-09-01,409.0,C,0.0,0.0,0.0,0.0,0,10,32.22,10,32.45,440.78,440.8,0.0,440.79,0.2332,0.991,0.0017,-0.0156,0.0164,0.077,25,31.28,25,32.15,440.04,440.07,0.0,66,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,32.335,0.23000000000000398,32.240349383177126,0.28682746079498767,3.8621491370541037,-0.07545137083818611,281.9696778231993
108,SPY,2023-08-25,SPY,2023-09-01,410.0,C,0.0,0.0,0.0,0.0,0,10,31.22,10,31.46,440.78,440.8,0.0,440.79,0.2259,0.9909,0.0018,-0.0152,0.0166,0.0772,25,30.33,25,31.14,440.04,440.07,0.0,392,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,31.34,0.240000000000002,31.248261935016888,0.28101694499737623,4.042106855307852,-0.07300936718263432,283.6567331549732
110,SPY,2023-08-25,SPY,2023-09-01,411.0,C,0.0,0.0,0.0,0.0,0,20,30.22,10,30.46,440.78,440.8,0.0,440.79,0.2219,0.99,0.002,-0.0169,0.0181,0.0774,25,29.36,25,29.89,440.04,440.07,0.0,32,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,30.34,0.240000000000002,30.251189122795548,0.2738786045970929,4.164674706588872,-0.07057331238475326,301.1200592309169
112,SPY,2023-08-25,SPY,2023-09-01,412.0,C,0.0,0.0,0.0,0.0,0,10,29.23,10,29.47,440.78,440.8,0.0,440.79,0.2176,0.989,0.0022,-0.0185,0.0196,0.0775,25,28.31,25,29.14,440.04,440.07,0.0,194,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,29.35,0.23999999999999844,29.26408703869642,0.26898136138535705,4.418156263761395,-0.06814317753146143,338.8907078301094
114,SPY,2023-08-25,SPY,2023-09-01,413.0,C,0.0,0.0,0.0,0.0,0,20,28.23,10,28.47,440.78,440.8,0.0,440.79,0.2102,0.9889,0.0023,-0.0181,0.0198,0.0777,25,27.31,25,27.89,440.04,440.07,0.0,43,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,28.35,0.23999999999999844,28.267014226475077,0.2616770765977418,4.552990116521452,-0.06571893391995512,359.89095488094273
116,SPY,2023-08-25,SPY,2023-09-01,414.0,C,26.11,26.48,26.11,26.48,20,10,27.24,10,27.48,440.78,440.8,0.0,440.79,0.2082,0.9869,0.0027,-0.0217,0.0227,0.0778,25,26.36,25,26.89,440.04,440.07,26.295,101,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,27.36,0.240000000000002,27.279912142375945,0.2564195833441816,4.819144381113508,-0.06330055305567343,403.19709316002627
118,SPY,2023-08-25,SPY,2023-09-01,415.0,C,21.14,21.17,21.14,21.16,10,20,26.25,10,26.48,440.78,440.8,0.0,440.79,0.2055,0.9849,0.003,-0.0251,0.0256,0.0778,60,25.37,60,26.14,440.04,440.07,21.158,129,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,26.365000000000002,0.23000000000000043,26.28782469421571,0.2499487713504951,5.030464498362327,-0.06088800665028959,478.3662205913732
120,SPY,2023-08-25,SPY,2023-09-01,416.0,C,0.0,0.0,0.0,0.0,0,40,25.25,10,25.49,440.78,440.8,0.0,440.79,0.1981,0.9846,0.0032,-0.0247,0.0261,0.078,60,24.28,60,25.14,440.04,440.07,0.0,86,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,25.369999999999997,0.23999999999999844,25.29573724605547,0.24335405483982683,5.249913560562445,-0.058481266619724546,478.4998679405869
122,SPY,2023-08-25,SPY,2023-09-01,417.0,C,22.72,22.72,22.72,22.72,2,20,24.26,10,24.5,440.78,440.8,0.0,440.79,0.1947,0.9825,0.0036,-0.0279,0.029,0.0781,60,23.4,60,23.91,440.04,440.07,22.72,18,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,24.380000000000003,0.23999999999999844,24.308635161956346,0.2375417011014894,5.539611573828728,-0.05608030508218645,532.7655623072501
124,SPY,2023-08-25,SPY,2023-09-01,418.0,C,20.32,22.54,20.32,22.54,8,20,23.27,10,23.5,440.78,440.8,0.0,440.79,0.1908,0.9803,0.0041,-0.031,0.032,0.0781,60,22.3,60,23.09,440.04,440.07,21.0163,395,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,23.384999999999998,0.23000000000000043,23.316547713796105,0.2306650349687012,5.777803290713518,-0.053685094356231526,631.0588065440421
126,SPY,2023-08-25,SPY,2023-09-01,419.0,C,17.34,20.46,17.34,20.46,5,20,22.28,10,22.51,440.78,440.8,0.0,440.79,0.1866,0.9779,0.0046,-0.034,0.0351,0.0781,60,21.44,60,22.14,440.04,440.07,19.326,37,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,22.395000000000003,0.23000000000000043,22.32944562969698,0.22449122977722868,6.087586786950198,-0.051295606958850055,700.5427767230718
128,SPY,2023-08-25,SPY,2023-09-01,420.0,C,19.51,21.82,16.2,20.59,267,20,21.29,10,21.53,440.78,440.8,0.0,440.79,0.182,0.9755,0.0052,-0.0368,0.0383,0.0782,60,20.27,60,20.91,440.04,440.07,21.1616,2690,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,21.41,0.240000000000002,21.347328909658955,0.21889550052558454,6.468473661103051,-0.04891181560357386,726.4088802844308
130,SPY,2023-08-25,SPY,2023-09-01,421.0,C,16.68,20.25,16.27,20.16,14,20,20.31,10,20.53,440.78,440.8,0.0,440.79,0.1757,0.9739,0.0056,-0.0379,0.0404,0.0782,60,19.45,60,20.15,440.04,440.07,19.6971,50,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,20.42,0.22000000000000242,20.360226825559828,0.2122954802585553,6.802174120922577,-0.046533693198606375,955.9829084989218
132,SPY,2023-08-25,SPY,2023-09-01,422.0,C,19.7,19.7,19.7,19.7,1,20,19.33,10,19.55,440.78,440.8,0.0,440.79,0.1753,0.9676,0.0067,-0.0467,0.048,0.0779,60,18.48,60,19.16,440.04,440.07,19.7,885,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,19.439999999999998,0.22000000000000242,19.383095469582905,0.2068920005165823,7.266008853258241,-0.04416121284497605,1090.8034019757436
134,SPY,2023-08-25,SPY,2023-09-01,423.0,C,16.85,18.22,16.85,18.22,16,12,18.35,10,18.57,440.78,440.8,0.0,440.79,0.1717,0.963,0.0077,-0.0519,0.0533,0.0778,60,17.5,60,18.17,440.04,440.07,17.7063,64,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,18.46,0.21999999999999886,18.405964113605993,0.20115066208786808,7.742389889756965,-0.04179434783470984,1238.5248182853613
136,SPY,2023-08-25,SPY,2023-09-01,424.0,C,14.39,17.55,14.39,17.38,16,20,17.37,10,17.59,440.78,440.8,0.0,440.79,0.1674,0.9581,0.0087,-0.0568,0.0587,0.0776,60,16.34,60,17.18,440.04,440.07,15.3031,172,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,17.48,0.21999999999999886,17.428832757629078,0.1950876862631072,8.233724489063952,-0.03943307164903011,1400.7070033432262
138,SPY,2023-08-25,SPY,2023-09-01,425.0,C,14.98,15.0,13.8,14.49,118,20,16.4,10,16.62,440.78,440.8,0.0,440.79,0.1635,0.9522,0.0099,-0.0627,0.0652,0.0773,60,15.38,60,16.01,440.04,440.07,14.9491,944,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,16.509999999999998,0.22000000000000242,16.46167212977437,0.18984853263365786,8.848020641767027,-0.03707735795657099,1617.5096958085471
140,SPY,2023-08-25,SPY,2023-09-01,426.0,C,12.42,15.93,10.91,15.93,61,20,15.43,10,15.65,440.78,440.8,0.0,440.79,0.1598,0.9451,0.0113,-0.0694,0.0724,0.0769,1,14.62,60,15.23,440.04,440.07,11.5433,198,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,15.54,0.22000000000000064,15.49451150191967,0.1841675001147627,9.476295017113468,-0.034727180611617454,1855.3753564332442
142,SPY,2023-08-25,SPY,2023-09-01,427.0,C,13.18,14.52,11.5,14.52,13,10,14.48,10,14.69,440.78,440.8,0.0,440.79,0.1573,0.9353,0.0131,-0.0791,0.0819,0.0763,60,13.57,60,14.08,440.04,440.07,12.7915,379,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,14.585,0.20999999999999908,14.542306966248288,0.17953428771389557,10.265407949063988,-0.03238251365236327,2389.5374231452843
144,SPY,2023-08-25,SPY,2023-09-01,428.0,C,12.3,12.7,10.0,12.7,163,10,13.53,10,13.74,440.78,440.8,0.0,440.79,0.1545,0.9244,0.015,-0.0889,0.092,0.0756,60,12.58,60,13.26,440.04,440.07,11.8413,695,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,13.635,0.21000000000000085,13.595087794638012,0.17474981815497756,11.106628835093975,-0.03004333129919109,2797.215512030384
146,SPY,2023-08-25,SPY,2023-09-01,429.0,C,11.53,12.75,8.35,12.75,144,40,12.6,40,12.8,440.78,440.8,0.0,440.79,0.1523,0.9108,0.0173,-0.1007,0.1035,0.0747,1,11.81,60,12.2,440.04,440.07,10.9427,564,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,12.7,0.20000000000000107,12.662824715211055,0.17058526308776373,12.077962187451549,-0.02770960795297086,3646.929265037696
148,SPY,2023-08-25,SPY,2023-09-01,430.0,C,10.77,11.91,7.45,10.94,312,40,11.68,40,11.87,440.78,440.8,0.0,440.79,0.1498,0.8953,0.0197,-0.1129,0.1158,0.0735,1,10.91,65,11.29,440.04,440.07,9.9125,2907,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,11.774999999999999,0.1899999999999995,11.740532363906313,0.16641783602069135,13.1185797387149,-0.025381318193379784,4767.233638809474
150,SPY,2023-08-25,SPY,2023-09-01,431.0,C,10.02,11.2,6.86,10.11,155,40,10.77,40,10.95,440.78,440.8,0.0,440.79,0.1471,0.878,0.0224,-0.1251,0.1284,0.0723,1,10.02,60,10.39,440.04,440.07,10.0651,1624,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,10.86,0.17999999999999972,10.828210740723785,0.16213339737438612,14.215254795437954,-0.02305843677724005,6236.835459852541
152,SPY,2023-08-25,SPY,2023-09-01,432.0,C,7.98,10.4,6.8,9.41,100,40,9.89,40,10.06,440.78,440.8,0.0,440.79,0.1454,0.8563,0.0254,-0.1401,0.143,0.0706,1,9.15,65,9.54,440.04,440.07,8.7387,2973,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,9.975000000000001,0.16999999999999993,9.945801301907897,0.15892839040207488,15.467899403492602,-0.020740938636877475,8278.751278773945
154,SPY,2023-08-25,SPY,2023-09-01,433.0,C,7.78,9.27,5.32,8.57,393,40,9.03,40,9.19,440.78,440.8,0.0,440.79,0.1433,0.8323,0.0285,-0.1546,0.1575,0.0688,60,8.28,65,8.7,440.04,440.07,7.2878,1813,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,9.11,0.16000000000000014,9.083333319336434,0.15582949876010824,16.76554321294563,-0.018428798878498003,10979.821844732296
156,SPY,2023-08-25,SPY,2023-09-01,434.0,C,7.03,8.72,4.68,7.69,791,40,8.19,40,8.34,440.78,440.8,0.0,440.79,0.1414,0.8049,0.0318,-0.1693,0.1723,0.0666,233,7.53,41,7.73,440.04,440.07,5.6824,1928,,7,7D,0.019178082191780823,1.0029357813619806,441.05365154578413,8.265,0.15000000000000036,8.240806793009401,0.15266747318568255,18.07219448341734,-0.016121992780582937,14515.742819842606
